year	month	day	volume	company
2018	8	30	0.01	1000502
2018	8	30	0	1000503
2018	8	30	0.8944	1000504
2018	8	30	20	1000505
2018	8	30	90	1000506
2018	8	30	0.0733	1000507
2018	8	30	34.3871	1000508
2018	8	30	0.175	1000509
2018	8	30	5.3098	1000513
2018	8	30	0	1000514
2018	8	30	0	1000516
2018	8	30	0	1000517
2018	8	30	0	1000518
2018	8	30	0	1000519
2018	8	30	0	1000524
2018	8	30	0	1000525
2018	8	30	0	1000526
2018	8	30	0	1000527
2018	8	30	0	1000528
2018	8	30	18.3871	1000531
2018	8	30	1.7742	1000534
2018	8	30	1.8387	1000535
2018	8	30	0.07	1000536
2018	8	30	0	1000539
2018	8	30	6.4	1000542
2018	8	30	0	1000543
2018	8	30	0.7097	1000544
2018	8	30	11	1000546
2018	8	30	0.9677	1000548
2018	8	30	3.5484	1000549
2018	8	30	50	1000550
2018	8	30	30.6452	1000551
2018	8	30	140	1000552
2018	8	30	78	1000553
2018	8	30	1.1613	1000554
2018	8	30	4	1000555
2018	8	30	0.9627	1000556
2018	8	30	0.3225	1000558
2018	8	30	0.289	1000559
2018	8	30	5.1613	1000560
2018	8	30	15.5	1000562
2018	8	30	1.4194	1000564
2018	8	30	0	1000565
2018	8	30	1.7419	1000566
2018	8	30	0	1000567
2018	8	30	5.8065	1000568
2018	8	30	19	1000569
2018	8	30	1.9355	1000570
2018	8	30	45.6129	1000571
2018	8	30	2.2581	1000574
2018	8	30	3.5484	1000576
2018	8	30	2.5806	1000577
2018	8	30	1.9355	1000578
2018	8	30	12.9677	1000579
2018	8	30	1.3871	1000580
2018	8	30	0	1000581
2018	8	30	4.4	1000582
2018	8	30	52	1000584
2018	8	30	5	1000585
2018	8	30	0.2	1000586
2018	8	30	4.1	1000588
2018	8	30	2.5806	1000590
2018	8	30	2.2581	1000591
2018	8	30	3.1935	1000593
2018	8	30	0.3871	1000597
2018	8	30	25.6774	1000598
2018	8	30	3.129	1000599
2018	8	30	2.2581	1000600
2018	8	30	0.0065	1000601
2018	8	30	15	1000602
2018	8	30	2.5484	1000603
2018	8	30	3.2903	1000605
2018	8	30	0.5262	1000606
2018	8	30	0	1000608
2018	8	30	2.8387	1000610
2018	8	30	3	1000611
2018	8	30	0.8387	1000612
2018	8	30	0.6452	1000613
2018	8	30	0	1000614
2018	8	30	0.8387	1000615
2018	8	30	3.2258	1000616
2018	8	30	1.7097	1000617
2018	8	30	9	1000618
2018	8	30	6.80000019073486	1000619
2018	8	30	45	1000621
2018	8	30	236.3226	1000622
2018	8	30	1.3226	1000623
2018	8	30	0.5161	1000624
2018	8	30	1.0968	1000625
2018	8	30	25	1000626
2018	8	30	1.0323	1000627
2018	8	30	0	1000628
2018	8	30	3	1000629
2018	8	30	1.7742	1000630
2018	8	30	0	1000631
2018	8	30	0.0644999999999989	1000632
2018	8	30	6.4516	1000633
2018	8	30	8.5	1000634
2018	8	30	0	1000635
2018	8	30	1.0968	1000636
2018	8	30	0.2581	1000637
2018	8	30	1.9355	1000638
2018	8	30	0	1000639
2018	8	30	1.7742	1000640
2018	8	30	0.6774	1000641
2018	8	30	0.1613	1000642
2018	8	30	1.4194	1000643
2018	8	30	1.4839	1000644
2018	8	30	1	1000645
2018	8	30	1.4194	1000646
2018	8	30	0.6452	1000647
2018	8	30	7	1000648
2018	8	30	0	1000649
2018	8	30	0.0129	1000650
2018	8	30	3.7383	1000651
2018	8	30	2.3871	1000653
2018	8	30	0	1000671
2018	8	30	0	1010093
2018	8	30	0	1010504
2018	8	30	0	1010507
2018	8	30	0.3226	1010648
2018	8	30	3	1010649
2018	8	30	2	1010650
2018	8	30	1	1010651
2018	8	30	1.9355	1010652
2018	8	30	7.4194	1010653
2018	8	30	1.2258	1010654
2018	8	30	0.4839	1010655
2018	8	30	0	1010656
2018	8	30	0.1935	1010657
2018	8	30	20	1010658
2018	8	30	0.5161	1010659
2018	8	30	26	1010660
2018	8	30	10	1010661
2018	8	30	9.4738	1010662
2018	8	30	0.9677	1010663
2018	8	30	0	1010664
2018	8	30	0.2581	1010665
2018	8	30	0.0065	1010666
2018	8	30	0.4516	1010667
2018	8	30	6.4516	1010668
2018	8	30	3	1010669
2018	8	30	0	1010670
2018	8	30	0	1010671
2018	8	30	0	1010672
2018	8	30	1.5	1010673
2018	8	30	0.0265	2000003
2018	8	30	0.1861	2000004
2018	8	30	0.0387	2000005
2018	8	30	0	2000006
2018	8	30	0	2000007
2018	8	30	19.9258	2000009
2018	8	30	0.0926	2000010
2018	8	30	15.5619	2000014
2018	8	30	0.0065	2000016
2018	8	30	14.2129	2000017
2018	8	30	2.0274	2000020
2018	8	30	0.0116	2000022
2018	8	30	0.0023	2000023
2018	8	30	0.7929	2000026
2018	8	30	0.0484	2000028
2018	8	30	0	2000029
2018	8	30	1.0565	2000030
2018	8	30	1.0887	2000036
2018	8	30	0.441	2000040
2018	8	30	0	2000041
2018	8	30	0	2000045
2018	8	30	0	2000046
2018	8	30	0.7097	2000050
2018	8	30	0	2000052
2018	8	30	0	2000056
2018	8	30	10.0923	2000058
2018	8	30	0	2000065
2018	8	30	1.9584	2000069
2018	8	30	0	2000072
2018	8	30	0.0552	2000078
2018	8	30	1.7516	2000081
2018	8	30	0	2000087
2018	8	30	1.8548	2000093
2018	8	30	3.1032	2000094
2018	8	30	0.0323	2000095
2018	8	30	1.2581	2000096
2018	8	30	0	2000097
2018	8	30	23.2258	2000098
2018	8	30	7.7726	2000100
2018	8	30	1	2000101
2018	8	30	0	2000102
2018	8	30	0.0055	2000104
2018	8	30	0	2000107
2018	8	30	0	2000109
2018	8	30	19.3419	2000112
2018	8	30	0.2687	2000114
2018	8	30	7.369	2000115
2018	8	30	0.3906	2000117
2018	8	30	3.9684	2000118
2018	8	30	0	2000120
2018	8	30	0	2000121
2018	8	30	0	2000122
2018	8	30	1.1503	2000123
2018	8	30	0	2000128
2018	8	30	4.5032	2000137
2018	8	30	0.4723	2000138
2018	8	30	0.0177	2000167
2018	8	30	0	2000169
2018	8	30	0	2000170
2018	8	30	0	2000174
2018	8	30	0	2000182
2018	8	30	52.8151	2000188
2018	8	30	0.0323	2000197
2018	8	30	3.6606	2000200
2018	8	30	0.0203	2000201
2018	8	30	230.2901	2000220
2018	8	30	0	2000221
2018	8	30	2.7826	2000223
2018	8	30	1.3181	2000224
2018	8	30	1.3471	2000225
2018	8	30	12.7687	2000229
2018	8	30	1.5297	2000232
2018	8	30	0	2000233
2018	8	30	9.4503	2000235
2018	8	30	0.4	2000236
2018	8	30	8	2000237
2018	8	30	107.1929	2000239
2018	8	30	283.1052	2000240
